Test Accuracy,Trial ID
14.28571492433548%,IUm8S
12.857143580913544%,GkcEJ
15.000000596046448%,oKXrs
12.857143580913544%,Dl5yO
10.000000149011612%,GOx86
14.28571492433548%,WW5ow
86.42857074737549%,D9DFP
15.000000596046448%,PpSPY
15.000000596046448%,DZKSG
15.714286267757416%,vcSXM
14.28571492433548%,paSly
14.28571492433548%,IfSYD
14.28571492433548%,faecW
89.99999761581421%,Oqzvt
14.28571492433548%,MvMe3
83.57142806053162%,khT3I
93.57143044471741%,VU8tO
89.28571343421936%,x6Rxa
90.71428775787354%,BQUim
88.57142925262451%,frdlp
88.57142925262451%,bYVz7
81.42856955528259%,BJ4w9
92.14285612106323%,gy2Tz
79.28571701049805%,ZLEKN
91.42857193946838%,OpERB
89.99999761581421%,XQQBZ
92.85714030265808%,v7Iss
70.71428298950195%,nSmIH
92.85714030265808%,eWRNi
89.28571343421936%,xSyN4
89.28571343421936%,PoTBI
92.85714030265808%,ROkpK
89.99999761581421%,KfYzu
87.14285492897034%,rvSNo
89.99999761581421%,LiXG7
89.99999761581421%,l1geO
87.85714507102966%,lnbIo
90.71428775787354%,Zca1g
87.85714507102966%,mb6wE
82.14285969734192%,Tjd27
88.57142925262451%,GUDob
93.57143044471741%,y9dLG
94.9999988079071%,mAYF1
88.57142925262451%,NjdpI
87.14285492897034%,CUAiE
92.85714030265808%,UwE62
92.85714030265808%,qKc3b
92.85714030265808%,OsXZy
90.71428775787354%,KeQSh
87.85714507102966%,SVnm6
91.42857193946838%,Z0sIF
93.57143044471741%,OJUxM
92.85714030265808%,g8I10
91.42857193946838%,GzHJy
92.85714030265808%,bjL2K
91.42857193946838%,QCob9
89.28571343421936%,tu5sG
92.14285612106323%,XGW3a
72.85714149475098%,JSZVi
15.000000596046448%,mM9G8
78.57142686843872%,Eys9Y
15.000000596046448%,YjeA0
14.28571492433548%,ZNO7a
32.14285671710968%,pBtPQ
14.28571492433548%,UhA1d
87.85714507102966%,t2AZp
19.285714626312256%,e3vWS
87.85714507102966%,mtsXa
86.42857074737549%,IcmM5
91.42857193946838%,sIWu2
90.71428775787354%,gzTaI
15.000000596046448%,WxVgI
87.85714507102966%,M8jpa
95.71428298950195%,F0Ddr
77.85714268684387%,kWAvN
85.00000238418579%,Q5mpe
87.85714507102966%,gke00
89.28571343421936%,zrQ38
92.14285612106323%,wu1AU
91.42857193946838%,Cg32Z
14.28571492433548%,bLayZ
89.99999761581421%,TQsoC
88.57142925262451%,thXBB
89.99999761581421%,tRwjQ
89.28571343421936%,RA12u
90.71428775787354%,gbifQ
91.42857193946838%,Uiamr
86.42857074737549%,bZbLP
89.99999761581421%,jzTBF
87.14285492897034%,VEdkM
90.71428775787354%,vv0vr
